timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676151824581,308,HTTP Request,200,,Thread-Gruppe  1-17,text,true,,417,129,100,100,http://localhost:7000/randomRequest,300,0,76
1676151824581,392,HTTP Request,200,,Thread-Gruppe  1-90,text,true,,555,129,100,100,http://localhost:7000/randomRequest,392,0,76
1676151824590,389,HTTP Request,200,,Thread-Gruppe  1-49,text,true,,485,129,100,100,http://localhost:7000/randomRequest,389,0,67
1676151824586,402,HTTP Request,200,,Thread-Gruppe  1-3,text,true,,488,129,100,100,http://localhost:7000/randomRequest,402,0,73
1676151824579,409,HTTP Request,200,,Thread-Gruppe  1-71,text,true,,419,129,100,100,http://localhost:7000/randomRequest,409,0,81
1676151824581,411,HTTP Request,200,,Thread-Gruppe  1-80,text,true,,488,129,100,100,http://localhost:7000/randomRequest,411,0,79
1676151824579,415,HTTP Request,200,,Thread-Gruppe  1-62,text,true,,419,129,100,100,http://localhost:7000/randomRequest,415,0,88
1676151824581,514,HTTP Request,200,,Thread-Gruppe  1-73,text,true,,419,129,100,100,http://localhost:7000/randomRequest,514,0,79
1676151824587,508,HTTP Request,200,,Thread-Gruppe  1-61,text,true,,492,129,100,100,http://localhost:7000/randomRequest,508,0,73
1676151824587,508,HTTP Request,200,,Thread-Gruppe  1-89,text,true,,492,129,100,100,http://localhost:7000/randomRequest,508,0,73
1676151824587,535,HTTP Request,200,,Thread-Gruppe  1-16,text,true,,419,129,100,100,http://localhost:7000/randomRequest,535,0,80
1676151824581,544,HTTP Request,200,,Thread-Gruppe  1-86,text,true,,492,129,100,100,http://localhost:7000/randomRequest,544,0,70
1676151824587,557,HTTP Request,200,,Thread-Gruppe  1-46,text,true,,492,129,100,100,http://localhost:7000/randomRequest,557,0,99
1676151824584,568,HTTP Request,200,,Thread-Gruppe  1-83,text,true,,419,129,100,100,http://localhost:7000/randomRequest,568,0,100
1676151824579,573,HTTP Request,200,,Thread-Gruppe  1-35,text,true,,556,129,100,100,http://localhost:7000/randomRequest,573,0,86
1676151824590,566,HTTP Request,200,,Thread-Gruppe  1-10,text,true,,419,129,100,100,http://localhost:7000/randomRequest,566,0,128
1676151824591,565,HTTP Request,200,,Thread-Gruppe  1-13,text,true,,549,129,100,100,http://localhost:7000/randomRequest,565,0,63
1676151824586,570,HTTP Request,200,,Thread-Gruppe  1-69,text,true,,565,129,100,100,http://localhost:7000/randomRequest,570,0,81
1676151824586,588,HTTP Request,200,,Thread-Gruppe  1-26,text,true,,419,129,100,100,http://localhost:7000/randomRequest,588,0,132
1676151824581,593,HTTP Request,200,,Thread-Gruppe  1-94,text,true,,561,129,100,100,http://localhost:7000/randomRequest,593,0,141
1676151824581,593,HTTP Request,200,,Thread-Gruppe  1-77,text,true,,563,129,100,100,http://localhost:7000/randomRequest,593,0,102
1676151824589,585,HTTP Request,200,,Thread-Gruppe  1-76,text,true,,555,129,100,100,http://localhost:7000/randomRequest,585,0,79
1676151824579,602,HTTP Request,200,,Thread-Gruppe  1-11,text,true,,403,129,100,100,http://localhost:7000/randomRequest,602,0,79
1676151824588,607,HTTP Request,200,,Thread-Gruppe  1-60,text,true,,557,129,100,100,http://localhost:7000/randomRequest,607,0,77
1676151824589,606,HTTP Request,200,,Thread-Gruppe  1-42,text,true,,549,129,100,100,http://localhost:7000/randomRequest,606,0,77
1676151824584,622,HTTP Request,200,,Thread-Gruppe  1-36,text,true,,551,129,100,100,http://localhost:7000/randomRequest,622,0,83
1676151824584,626,HTTP Request,200,,Thread-Gruppe  1-31,text,true,,560,129,100,100,http://localhost:7000/randomRequest,626,0,83
1676151824590,631,HTTP Request,200,,Thread-Gruppe  1-43,text,true,,488,129,100,100,http://localhost:7000/randomRequest,631,0,72
1676151824581,661,HTTP Request,200,,Thread-Gruppe  1-12,text,true,,485,129,100,100,http://localhost:7000/randomRequest,661,0,85
1676151824581,664,HTTP Request,200,,Thread-Gruppe  1-38,text,true,,492,129,100,100,http://localhost:7000/randomRequest,663,0,86
1676151824589,712,HTTP Request,200,,Thread-Gruppe  1-97,text,true,,486,129,100,100,http://localhost:7000/randomRequest,712,0,78
1676151824586,715,HTTP Request,200,,Thread-Gruppe  1-67,text,true,,485,129,100,100,http://localhost:7000/randomRequest,715,0,80
1676151824581,725,HTTP Request,200,,Thread-Gruppe  1-99,text,true,,417,129,100,100,http://localhost:7000/randomRequest,725,0,86
1676151824590,752,HTTP Request,200,,Thread-Gruppe  1-7,text,true,,419,129,100,100,http://localhost:7000/randomRequest,752,0,118
1676151824579,763,HTTP Request,200,,Thread-Gruppe  1-27,text,true,,492,129,100,100,http://localhost:7000/randomRequest,763,0,89
1676151824589,758,HTTP Request,200,,Thread-Gruppe  1-40,text,true,,488,129,100,100,http://localhost:7000/randomRequest,758,0,76
1676151824581,774,HTTP Request,200,,Thread-Gruppe  1-63,text,true,,418,129,100,100,http://localhost:7000/randomRequest,774,0,107
1676151824590,766,HTTP Request,200,,Thread-Gruppe  1-32,text,true,,403,129,100,100,http://localhost:7000/randomRequest,766,0,104
1676151824584,773,HTTP Request,200,,Thread-Gruppe  1-37,text,true,,419,129,100,100,http://localhost:7000/randomRequest,773,0,134
1676151824579,778,HTTP Request,200,,Thread-Gruppe  1-28,text,true,,403,129,100,100,http://localhost:7000/randomRequest,778,0,139
1676151824589,768,HTTP Request,200,,Thread-Gruppe  1-72,text,true,,419,129,100,100,http://localhost:7000/randomRequest,768,0,87
1676151824579,778,HTTP Request,200,,Thread-Gruppe  1-14,text,true,,545,129,100,100,http://localhost:7000/randomRequest,778,0,86
1676151824587,793,HTTP Request,200,,Thread-Gruppe  1-75,text,true,,492,129,100,100,http://localhost:7000/randomRequest,793,0,90
