timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676157565544,988,HTTP Request,200,,Thread-Gruppe  1-61,text,true,,559,129,100,100,http://localhost:7000/randomRequest,984,0,50
1676157565543,989,HTTP Request,200,,Thread-Gruppe  1-36,text,true,,553,129,100,100,http://localhost:7000/randomRequest,985,0,50
1676157565543,989,HTTP Request,200,,Thread-Gruppe  1-47,text,true,,542,129,100,100,http://localhost:7000/randomRequest,985,0,48
1676157565544,988,HTTP Request,200,,Thread-Gruppe  1-95,text,true,,560,129,100,100,http://localhost:7000/randomRequest,984,0,47
1676157565545,1061,HTTP Request,200,,Thread-Gruppe  1-70,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1061,0,46
1676157565545,1064,HTTP Request,200,,Thread-Gruppe  1-46,text,true,,417,129,100,100,http://localhost:7000/randomRequest,1064,0,44
1676157565544,1067,HTTP Request,200,,Thread-Gruppe  1-44,text,true,,570,129,100,100,http://localhost:7000/randomRequest,1067,0,45
1676157565544,1069,HTTP Request,200,,Thread-Gruppe  1-13,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1069,0,55
1676157565544,1069,HTTP Request,200,,Thread-Gruppe  1-94,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1069,0,46
1676157565544,1069,HTTP Request,200,,Thread-Gruppe  1-56,text,true,,418,129,100,100,http://localhost:7000/randomRequest,1069,0,45
1676157565544,1069,HTTP Request,200,,Thread-Gruppe  1-26,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1069,0,45
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-71,text,true,,416,129,100,100,http://localhost:7000/randomRequest,1069,0,32
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-22,text,true,,549,129,100,100,http://localhost:7000/randomRequest,1069,0,44
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-38,text,true,,490,129,100,100,http://localhost:7000/randomRequest,1070,0,41
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-17,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1070,0,38
1676157565543,1071,HTTP Request,200,,Thread-Gruppe  1-67,text,true,,550,129,100,100,http://localhost:7000/randomRequest,1071,0,45
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-28,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1070,0,39
1676157565544,1070,HTTP Request,200,,Thread-Gruppe  1-20,text,true,,487,129,100,100,http://localhost:7000/randomRequest,1070,0,49
1676157565545,1162,HTTP Request,200,,Thread-Gruppe  1-52,text,true,,558,129,100,100,http://localhost:7000/randomRequest,1162,0,44
1676157565544,1163,HTTP Request,200,,Thread-Gruppe  1-85,text,true,,572,129,100,100,http://localhost:7000/randomRequest,1163,0,54
1676157565544,1168,HTTP Request,200,,Thread-Gruppe  1-80,text,true,,403,129,100,100,http://localhost:7000/randomRequest,1168,0,47
1676157565546,1167,HTTP Request,200,,Thread-Gruppe  1-91,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1167,0,33
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-27,text,true,,402,129,100,100,http://localhost:7000/randomRequest,1172,0,47
1676157565545,1171,HTTP Request,200,,Thread-Gruppe  1-25,text,true,,549,129,100,100,http://localhost:7000/randomRequest,1171,0,55
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-92,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1172,0,44
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-48,text,true,,548,129,100,100,http://localhost:7000/randomRequest,1172,0,41
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-34,text,true,,556,129,100,100,http://localhost:7000/randomRequest,1172,0,45
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-64,text,true,,481,129,100,100,http://localhost:7000/randomRequest,1172,0,44
1676157565545,1171,HTTP Request,200,,Thread-Gruppe  1-24,text,true,,403,129,100,100,http://localhost:7000/randomRequest,1171,0,34
1676157565544,1172,HTTP Request,200,,Thread-Gruppe  1-79,text,true,,418,129,100,100,http://localhost:7000/randomRequest,1172,0,46
