timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676130130162,962,HTTP Request,200,,Thread-Gruppe  1-35,text,true,,570,129,100,100,http://localhost:7000/randomRequest,958,0,61
1676130130162,1205,HTTP Request,200,,Thread-Gruppe  1-90,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1205,0,43
1676130130165,1305,HTTP Request,200,,Thread-Gruppe  1-86,text,true,,550,129,100,100,http://localhost:7000/randomRequest,1305,0,46
1676130130162,1350,HTTP Request,200,,Thread-Gruppe  1-71,text,true,,563,129,100,100,http://localhost:7000/randomRequest,1350,0,46
1676130130165,1425,HTTP Request,200,,Thread-Gruppe  1-49,text,true,,546,129,100,100,http://localhost:7000/randomRequest,1425,0,45
1676130130166,1424,HTTP Request,200,,Thread-Gruppe  1-13,text,true,,488,129,100,100,http://localhost:7000/randomRequest,1424,0,32
1676130130162,1455,HTTP Request,200,,Thread-Gruppe  1-57,text,true,,490,129,100,100,http://localhost:7000/randomRequest,1455,0,44
1676130130167,1450,HTTP Request,200,,Thread-Gruppe  1-81,text,true,,548,129,100,100,http://localhost:7000/randomRequest,1450,0,48
1676130130162,1455,HTTP Request,200,,Thread-Gruppe  1-56,text,true,,488,129,100,100,http://localhost:7000/randomRequest,1455,0,57
1676130130167,1531,HTTP Request,200,,Thread-Gruppe  1-17,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1531,0,38
1676130130167,1534,HTTP Request,200,,Thread-Gruppe  1-19,text,true,,417,129,100,100,http://localhost:7000/randomRequest,1534,0,44
1676130130166,1677,HTTP Request,200,,Thread-Gruppe  1-60,text,true,,481,129,100,100,http://localhost:7000/randomRequest,1677,0,45
1676130130166,1713,HTTP Request,200,,Thread-Gruppe  1-97,text,true,,550,129,100,100,http://localhost:7000/randomRequest,1713,0,32
1676130130166,1718,HTTP Request,200,,Thread-Gruppe  1-11,text,true,,553,129,100,100,http://localhost:7000/randomRequest,1718,0,55
1676130130167,1729,HTTP Request,200,,Thread-Gruppe  1-4,text,true,,559,129,100,100,http://localhost:7000/randomRequest,1729,0,42
1676130130163,1735,HTTP Request,200,,Thread-Gruppe  1-48,text,true,,554,129,100,100,http://localhost:7000/randomRequest,1735,0,48
1676130130162,1763,HTTP Request,200,,Thread-Gruppe  1-93,text,true,,558,129,100,100,http://localhost:7000/randomRequest,1763,0,55
1676130130162,1776,HTTP Request,200,,Thread-Gruppe  1-55,text,true,,641,129,100,100,http://localhost:7000/randomRequest,1776,0,50
1676130130166,1772,HTTP Request,200,,Thread-Gruppe  1-67,text,true,,541,129,100,100,http://localhost:7000/randomRequest,1772,0,42
1676130130167,1835,HTTP Request,200,,Thread-Gruppe  1-92,text,true,,403,129,100,100,http://localhost:7000/randomRequest,1835,0,40
1676130130167,1837,HTTP Request,200,,Thread-Gruppe  1-52,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1837,0,36
1676130130163,1866,HTTP Request,200,,Thread-Gruppe  1-84,text,true,,419,129,100,100,http://localhost:7000/randomRequest,1866,0,43
1676130130161,1948,HTTP Request,200,,Thread-Gruppe  1-9,text,true,,492,129,100,100,http://localhost:7000/randomRequest,1948,0,45
1676130130161,1974,HTTP Request,200,,Thread-Gruppe  1-78,text,true,,556,129,100,100,http://localhost:7000/randomRequest,1974,0,40
1676130130166,2040,HTTP Request,200,,Thread-Gruppe  1-50,text,true,,492,129,100,100,http://localhost:7000/randomRequest,2040,0,48
1676130130162,2076,HTTP Request,200,,Thread-Gruppe  1-79,text,true,,550,129,100,100,http://localhost:7000/randomRequest,2076,0,43
1676130130167,2080,HTTP Request,200,,Thread-Gruppe  1-36,text,true,,541,129,100,100,http://localhost:7000/randomRequest,2080,0,50
1676130130161,2126,HTTP Request,200,,Thread-Gruppe  1-54,text,true,,543,129,100,100,http://localhost:7000/randomRequest,2126,0,35
1676130130165,2146,HTTP Request,200,,Thread-Gruppe  1-74,text,true,,492,129,100,100,http://localhost:7000/randomRequest,2146,0,30
1676130130161,2179,HTTP Request,200,,Thread-Gruppe  1-7,text,true,,419,129,100,100,http://localhost:7000/randomRequest,2179,0,39
1676130130162,2190,HTTP Request,200,,Thread-Gruppe  1-40,text,true,,647,129,100,100,http://localhost:7000/randomRequest,2190,0,53
1676130130167,2278,HTTP Request,200,,Thread-Gruppe  1-27,text,true,,418,129,100,100,http://localhost:7000/randomRequest,2278,0,28
1676130130166,2279,HTTP Request,200,,Thread-Gruppe  1-51,text,true,,490,129,100,100,http://localhost:7000/randomRequest,2279,0,43
1676130130162,2292,HTTP Request,200,,Thread-Gruppe  1-22,text,true,,537,129,100,100,http://localhost:7000/randomRequest,2292,0,38
1676130130167,2379,HTTP Request,200,,Thread-Gruppe  1-73,text,true,,489,129,100,100,http://localhost:7000/randomRequest,2379,0,53
1676130130162,2384,HTTP Request,200,,Thread-Gruppe  1-85,text,true,,551,129,100,100,http://localhost:7000/randomRequest,2384,0,57
1676130130165,2429,HTTP Request,200,,Thread-Gruppe  1-32,text,true,,560,129,100,100,http://localhost:7000/randomRequest,2429,0,41
1676130130167,2588,HTTP Request,200,,Thread-Gruppe  1-89,text,true,,553,129,100,100,http://localhost:7000/randomRequest,2588,0,46
1676130130167,2588,HTTP Request,200,,Thread-Gruppe  1-98,text,true,,485,129,100,100,http://localhost:7000/randomRequest,2588,0,39
1676130130165,2630,HTTP Request,200,,Thread-Gruppe  1-41,text,true,,419,129,100,100,http://localhost:7000/randomRequest,2630,0,41
1676130130166,2629,HTTP Request,200,,Thread-Gruppe  1-34,text,true,,483,129,100,100,http://localhost:7000/randomRequest,2629,0,40
1676130130167,2643,HTTP Request,200,,Thread-Gruppe  1-42,text,true,,538,129,100,100,http://localhost:7000/randomRequest,2643,0,43
