timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676153760912,254,HTTP Request,200,,Thread-Gruppe  1-12,text,true,,419,129,100,100,http://localhost:7000/randomRequest,252,0,31
1676153760909,354,HTTP Request,200,,Thread-Gruppe  1-22,text,true,,419,129,100,100,http://localhost:7000/randomRequest,354,0,43
1676153760910,353,HTTP Request,200,,Thread-Gruppe  1-8,text,true,,418,129,100,100,http://localhost:7000/randomRequest,353,0,44
1676153760910,353,HTTP Request,200,,Thread-Gruppe  1-32,text,true,,554,129,100,100,http://localhost:7000/randomRequest,353,0,43
1676153760912,354,HTTP Request,200,,Thread-Gruppe  1-66,text,true,,560,129,100,100,http://localhost:7000/randomRequest,354,0,32
1676153760910,356,HTTP Request,200,,Thread-Gruppe  1-47,text,true,,560,129,100,100,http://localhost:7000/randomRequest,356,0,45
1676153760912,359,HTTP Request,200,,Thread-Gruppe  1-40,text,true,,416,129,100,100,http://localhost:7000/randomRequest,359,0,45
1676153760912,374,HTTP Request,200,,Thread-Gruppe  1-42,text,true,,560,129,100,100,http://localhost:7000/randomRequest,374,0,43
1676153760911,460,HTTP Request,200,,Thread-Gruppe  1-91,text,true,,549,129,100,100,http://localhost:7000/randomRequest,459,0,43
1676153760912,463,HTTP Request,200,,Thread-Gruppe  1-69,text,true,,419,129,100,100,http://localhost:7000/randomRequest,463,0,45
1676153760912,463,HTTP Request,200,,Thread-Gruppe  1-79,text,true,,416,129,100,100,http://localhost:7000/randomRequest,463,0,39
1676153760910,480,HTTP Request,200,,Thread-Gruppe  1-78,text,true,,492,129,100,100,http://localhost:7000/randomRequest,480,0,49
1676153760912,478,HTTP Request,200,,Thread-Gruppe  1-72,text,true,,556,129,100,100,http://localhost:7000/randomRequest,478,0,32
1676153760910,480,HTTP Request,200,,Thread-Gruppe  1-6,text,true,,486,129,100,100,http://localhost:7000/randomRequest,480,0,49
1676153760911,563,HTTP Request,200,,Thread-Gruppe  1-80,text,true,,417,129,100,100,http://localhost:7000/randomRequest,563,0,45
1676153760909,571,HTTP Request,200,,Thread-Gruppe  1-7,text,true,,542,129,100,100,http://localhost:7000/randomRequest,571,0,50
1676153760910,570,HTTP Request,200,,Thread-Gruppe  1-41,text,true,,419,129,100,100,http://localhost:7000/randomRequest,570,0,37
1676153760911,569,HTTP Request,200,,Thread-Gruppe  1-19,text,true,,551,129,100,100,http://localhost:7000/randomRequest,569,0,47
1676153760912,579,HTTP Request,200,,Thread-Gruppe  1-93,text,true,,492,129,100,100,http://localhost:7000/randomRequest,579,0,51
1676153760910,581,HTTP Request,200,,Thread-Gruppe  1-75,text,true,,419,129,100,100,http://localhost:7000/randomRequest,581,0,47
1676153760910,581,HTTP Request,200,,Thread-Gruppe  1-71,text,true,,481,129,100,100,http://localhost:7000/randomRequest,581,0,55
1676153760910,581,HTTP Request,200,,Thread-Gruppe  1-74,text,true,,545,129,100,100,http://localhost:7000/randomRequest,581,0,54
1676153760910,581,HTTP Request,200,,Thread-Gruppe  1-49,text,true,,492,129,100,100,http://localhost:7000/randomRequest,581,0,44
1676153760910,581,HTTP Request,200,,Thread-Gruppe  1-82,text,true,,418,129,100,100,http://localhost:7000/randomRequest,581,0,49
1676153760912,579,HTTP Request,200,,Thread-Gruppe  1-92,text,true,,417,129,100,100,http://localhost:7000/randomRequest,579,0,35
1676153760911,681,HTTP Request,200,,Thread-Gruppe  1-20,text,true,,419,129,100,100,http://localhost:7000/randomRequest,681,0,48
1676153760910,682,HTTP Request,200,,Thread-Gruppe  1-27,text,true,,419,129,100,100,http://localhost:7000/randomRequest,682,0,54
1676153760912,680,HTTP Request,200,,Thread-Gruppe  1-100,text,true,,486,129,100,100,http://localhost:7000/randomRequest,680,0,34
1676153760910,682,HTTP Request,200,,Thread-Gruppe  1-21,text,true,,563,129,100,100,http://localhost:7000/randomRequest,682,0,53
1676153760910,682,HTTP Request,200,,Thread-Gruppe  1-34,text,true,,489,129,100,100,http://localhost:7000/randomRequest,682,0,48
1676153760909,683,HTTP Request,200,,Thread-Gruppe  1-29,text,true,,490,129,100,100,http://localhost:7000/randomRequest,683,0,59
1676153760912,719,HTTP Request,200,,Thread-Gruppe  1-35,text,true,,569,129,100,100,http://localhost:7000/randomRequest,719,0,46
1676153761263,411,HTTP Request,200,,Thread-Gruppe  1-22,text,true,,419,129,100,100,http://localhost:7000/randomRequest,411,0,1
1676153761272,408,HTTP Request,200,,Thread-Gruppe  1-40,text,true,,417,129,100,100,http://localhost:7000/randomRequest,408,0,0
1676153760910,784,HTTP Request,200,,Thread-Gruppe  1-60,text,true,,555,129,100,100,http://localhost:7000/randomRequest,784,0,49
